intent,snippet
encapsulating retries into `with` block,"def __exit__(self, exc_type, exc_val, traceback):
    pass"
"interpolate unstructured x,y,z data on best grid based on nearest neighbour distance for each points",n_repr = 1000
print javascript exceptions in a qwebview to the console,url = 'http://localhost/test.html'
calling a non python program from python?,"import subprocess
cwd = os.getcwd()"
changing values of a list of namedtuples,"for i in range(len(books)):
    books[i] = books[i]._replace(price=books[i].price * 1.1)"
how to plot cdf in matplotlib in python?,"plot(X, CY, 'r--')
show()"
"make subset of array, based on values of two other arrays in python",1 == 1 & 2 == 2
how to implement an invite flow using django allauth for signup/signin?,del session['invite_key']
can't get django-star-ratings to display to template,"def __str__(self):
    pass"
adding a column of zeroes to a csr_matrix,"B2 = vstack((B, C))
hstack((B2, D))"
python - increase efficiency of large-file search by readlines(size),"words = list(map(process_group, groups))"
how to open an ssh tunnel using python?,"self.remoteuser = remoteuser
self.remotehost = remotehost
self.daemon = True

def run(self):
    if subprocess.call(['ssh', '-N', '-L', str(self.localport) + ':' + self
        .remotehost + ':' + str(self.remoteport), self.remoteuser + '@' +
        self.remotehost]):
        raise Exception('ssh tunnel setup failed')
if __name__ == '__main__':
    tunnel = SshTunnel(2222, 80, 'karel', 'localhost')
tunnel.start()
time.sleep(1)
subprocess.call(['curl', 'http://localhost:2222'])"
with sqlalchemy how to dynamically bind to database engine on a per-request basis,"binds.update(dict.fromkeys([Employee, Customer, Invoice], finance_engine))"
working with statistical expressions in sympy without specifying distribution,"Y = Normal('Y', 1, 2)"
if statements for panda dataframes in python,"for col in df.columns:
    df.loc[df[col] < 0, col] += 360
df.loc[df[col] > 360, col] -= 360"
detecting a specific watermark in a photo with python (without scipy),"watermark.train((data, 'negative'))"
getting values from functions that run as asyncio tasks,return 'saad'
compare two columns using pandas,"C = np.where(cond, A, B)"
pip build option to use multicore,from pip.basecommand import Command
how to show query parameter options in django rest framework - swagger,"return Response({'hello': 'world'}, status.HTTP_200_OK)"
how to shorten this if and elif code in python,"for b in (-1, 1):
    pass"
how to flatten axes of a multidimensional array without making copies in numpy?,"b = a.reshape((9, 3))
b[0] = 55"
what's wrong with this webcam face detection?,print('Number of faces detected: {}'.format(len(dets)))
how to change file system encoding via python?,import sys
what is the best method to read a double from a binary file created in c?,"filename = 'tmp.bin'
file = open(filename, mode='rb')"
how can i filter emoji characters from my input so i can save in mysql <5.5?,emoji_emoticons = re.compile('[\U0001f600-\U0001f64f]')
how to create a trie in python,current_dict = current_dict[letter]
validating a yaml document in python,"schema = """"""
type: object
properties:
  testing:
    type: array
    items:
      enum:
        - this
        - is
        - a
        - test
"""""""
how to make print statement one line in python?,"""""""If a hippo ways 2000 pounds, gives birth to a 100 pound calf and then eats a 50 pound meal how much does she weigh?"""""""
can't make standalone binary scrapy spider with cx_freeze,"from cx_Freeze import setup, Executable"
how to fix this script so that it won't peg the cpu?,print('OHAI')
matrix inversion without numpy,"b30 = A[1, 0] * A[2, 2] * A[3, 1] + A[1, 1] * A[2, 0] * A[3, 2] + A[1, 2] * A[
    2, 1] * A[3, 0] - A[1, 0] * A[2, 1] * A[3, 2] - A[1, 1] * A[2, 2] * A[3, 0
    ] - A[1, 2] * A[2, 0] * A[3, 1]
b31 = A[0, 0] * A[2, 1] * A[3, 2] + A[0, 1] * A[2, 2] * A[3, 0] + A[0, 2] * A[
    2, 0] * A[3, 1] - A[0, 0] * A[2, 2] * A[3, 1] - A[0, 1] * A[2, 0] * A[3, 2
    ] - A[0, 2] * A[2, 1] * A[3, 0]
b32 = A[0, 0] * A[1, 2] * A[3, 1] + A[0, 1] * A[1, 0] * A[3, 2] + A[0, 2] * A[
    1, 1] * A[3, 0] - A[0, 0] * A[1, 1] * A[3, 2] - A[0, 1] * A[1, 2] * A[3, 0
    ] - A[0, 2] * A[1, 0] * A[3, 1]
b33 = A[0, 0] * A[1, 1] * A[2, 2] + A[0, 1] * A[1, 2] * A[2, 0] + A[0, 2] * A[
    1, 0] * A[2, 1] - A[0, 0] * A[1, 2] * A[2, 1] - A[0, 1] * A[1, 0] * A[2, 2
    ] - A[0, 2] * A[1, 1] * A[2, 0]
Ainv = np.array([[b00, b01, b02, b03], [b10, b11, b12, b13], [b20, b21, b22,
    b23], [b30, b31, b32, b33]]) / detA
return Ainv"
splitting a python list by a character in each element,"a, b, c = [list(g) for k, g in it.groupby(mylist, keyfunc)]"
even numbers python list,"def even_only(iter):
    pass"
randomly select x number of items from class list in python,"sample_size = random.randint(3, 20)
sample = random.sample(yourlist, sample_size)
for item in sample:
    pass"
can numpy einsum() perform a cross-product between segments of a trajectory,"p4 = xy[2 * s:size + 2 * s]
return np.cross(p1 - p2, p4 - p3)"
emulating pass-by-value behaviour in python,"def func1():
    pass"
copy using the windows copy dialog,"from win32com.shell import shell, shellcon"
"with python's optparse module, how do you create an option that takes a variable number of arguments?","if getattr(parser.values, option.dest):
    args.extend(getattr(parser.values, option.dest))
setattr(parser.values, option.dest, args)
parser = OptionParser()
parser.add_option('-q', '--quiet', action='store_false', dest='verbose',
    help=""be vewwy quiet (I'm hunting wabbits)"")
parser.add_option('-f', '--filename', action='callback', callback=cb, dest=
    'file')
options, args = parser.parse_args()
print(options.file)
print(args)"
how to run a script on all *.txt files in current directory?,"yield G % (dirpath, path.basename(fn), sepm, sepm.join(found))"
convert python strings into floats explicitly using the comma or the point as separators,"def read_float_with_comma(num):
    return locale.atof(num)"
twisted: tcp server with push producer example?,"""""""This is just about the simplest possible protocol"""""""
python equivalent of scala partition,"for n in items:
    pass"
using generator send() within a for loop,"return getattr(self.gen, attr)"
connect to mssql server 2008 on linux,ServerName = mssql
timing block of code in python without putting it in a function,import time
python gzip: is there a way to decompress from a string?,"decompressed_data = zlib.decompress(gz_data, 16 + zlib.MAX_WBITS)"
"finding contiguous, non-unique slices in pandas series without iterating",ser_orig[start:end] = new_manual_mode_text.format(i)
sorting one list to match another in python,"for i, id in enumerate(ids):
    pass"
implement lookahead iterator for strings in python,"def lookahead(it):
    it1, it2 = tee(iter(it))"
how to exit a multithreaded program?,threading.Thread.__init__(self)
is there some kind of expression evaluation within list/tuple slicing syntax within python?,[x for x in lis if x > 2]
what's the best way to format a phone number in python?,"def phone_format(phone_number):
    clean_phone_number = re.sub('[^0-9]+', '', phone_number)
formatted_phone_number = re.sub('(\\d)(?=(\\d{3})+(?!\\d))', '\\1-', '%d' %
    int(clean_phone_number[:-1])) + clean_phone_number[-1]"
python file upload from url using requests library,urlsrc = 'http://example.com/source'
python: find and replace numbers < 1 in text file,"float_numbers = map(float, string_numbers)"
how do i get rid of a circular dependency error while creating a database in sqlalchemy?,__tablename__ = 'answer'
python: loop doing the same thing to one item n-times as opposed doing it once to n-items,"grab_data(year, rc)"
how to store a dictionary on a django model?,"class Dicty(models.Model):
    name = models.CharField(max_length=50)


class KeyVal(models.Model):
    container = models.ForeignKey(Dicty, db_index=True)
key = models.CharField(max_length=240, db_index=True)"
how to limit function parameter as array of fixed-size?,"def func(array):
    if len(array) != 2:
        raise ValueError('array with length 2 was expected')"
how to remove stop words using nltk or python,"filtered_word_list = word_list[:]
for word in word_list:
    if word in stopwords.words('english'):
        filtered_word_list.remove(word)"
sqlalchemy equivalent of pyodbc connect string using freetds,"""""""PWD=;"""""""
from list of indices to one-hot matrix,"f = theano.function([idx], one_hot)"
how to generate a predictable shuffling of a sequence without generating the whole sequence in advance?,"seq = [str(x) for x in seq]
print('try %s: %s...' % (trynum + 1, ', '.join(seq)))"
disable logging for a particular package,"handlers = nullHandler
qualname = qpid
propagate = 0"
disable plotly in python from communicating with the network in any form,"path = os.path.join('offline', 'plotly.min.js')"
"tail -f log on server, process data, then serve to client via twisted","def connectionMade(self):
    pass"
generative recursion to find the sublist with the maximum sum,"def find_max(L):
    length = len(L)"
filling wtforms formfield fieldlist with data results in html in fields,"studentform.student_id = student_id
studentform.student_name = name"
upload file with python mechanize,print(commands.formfile.__doc__)
how to crawl a website/extract data into database with python?,"from BeautifulSoup import BeautifulSoup
import urllib.request, urllib.parse, urllib.error"
psycopg2: writing json objects using copy_from. how to format the json string?,"import io, psycopg2, json
json_to_write = json.dumps(myobject).replace('\\', '\\\\')
buffer = io.StringIO(json_to_write)"
how to drag and drop from one qlistwidget to another,"self.setIconSize(QtCore.QSize(124, 124))"
python - how to find all intersections of two strings?,"def longest_common_substring(s1, s2):
    pass"
edges between two subgraphs in pydot,callgraph.add_subgraph(cluster_bar)
is there a python version for the jvm based metrics library,method_name = method.__name__
how to plot and annotate hierarchical clustering dendrograms in scipy/matplotlib,plt.title('fake data')
ftpes - ftp over explicit tls/ssl in python,filename = 'remote_filename.bin'
easy pretty printing of floats in python?,print([('%0.2f' % i) for i in a])
kwargs in python executables,"if __name__ == '__main__':
    kwargs = dict(x.split('=', 1) for x in sys.argv[1:])
read(**kwargs)"
how to read strange csv files in pandas?,import pandas as pd
how can i plot a confusion matrix?,"fig = plt.figure()
plt.clf()"
"scheduling algorithm, finding all non overlapping intervals of set length",result[hit].append(user)
log in to a website with python,"browser.get('http://www.example.com')
browser.find_element_by_name('username').send_keys('myusername')
browser.find_element_by_name('password').send_keys('mypassword')
browser.find_element_by_class_name('welcomeLoginButton').click()
cookies = browser.get_cookies()"
match set of dictionaries. most elegant solution. python,"old = {item['id']: item for item in list_old}
created = set(new.keys()) - set(old.keys())
deleted = set(old.keys()) - set(new.keys())
intersect = set(new.keys()).intersection(set(old.keys()))
diff = {id: dict(set(new[id].items()) - set(old[id].items())) for id in
    intersect}
diff.update({id: new[id] for id in created})
list_diff = [dict(data, **{'id': id}) for id, data in list(diff.items())]"
python loops with multiple lists?,"listA = ['A', 'B', 'C', 'D', 'E']
listB = ['a', 'b', 'c', 'd', 'e']"
converting integer to list in python,print('--')
how can this very long if-statement be simplified?,"[0, 0, 0, 0, 0],
[0, 0, 0, 1, 0],
[0, 0, 1, 1, 1],"
